t,last5_index,Vhat
1,1,5872.140795212478
2,1,5755.3354337160945
3,1,5156.011347115251
4,1,4681.251423623249
5,1,5804.323616661915
6,1,7500.448102828326
7,1,4695.644341872076
8,1,4040.793549433949
9,1,5051.3040537935485
10,1,4926.615234673301
11,1,6709.416887436537
12,1,8644.717927819422
13,1,9046.922983852448
14,1,9357.216974451634
15,1,11817.756658185312
16,1,11265.450732827518
17,1,11141.523715158713
18,1,10797.799484284744
19,1,9582.307985312762
20,1,8937.503138053506
21,1,10030.33392085869
22,1,10064.457409177961
23,1,9845.476841100168
24,1,11849.943685231588
25,1,13989.256373697353
26,1,13583.449182650482
27,1,12741.218610918879
28,1,11177.317678094485
29,1,9872.10549169287
30,1,8666.583752771156
31,1,7817.214742428138
32,1,7229.997883535145
33,1,6443.817008805996
34,1,6136.559124928393
35,1,8117.79638707473
36,1,8836.163165054182
37,1,9374.863314402228
38,1,9403.808891301458
39,1,9298.877778870938
40,1,9122.219297209766
41,1,9044.050734870352
42,1,8581.856483642801
43,1,8076.474855412276
44,1,7959.884729946815
45,1,11079.769796300146
46,1,13237.576981769074
47,1,10397.125594320949
1,2,6283.03776201732
2,2,6278.58029683524
3,2,5780.366194540527
4,2,5248.956602390381
5,2,4020.434069595515
6,2,3426.087775062775
7,2,3091.189376125525
8,2,2871.972513042351
9,2,3928.791917068007
10,2,5361.409041912893
11,2,7205.5903450171345
12,2,9260.010665166661
13,2,24342.422485248124
14,2,27839.806967680714
15,2,30471.98098859552
16,2,31922.993075917708
17,2,31277.30561523616
18,2,31224.01704417247
19,2,29799.380890952783
20,2,29092.188318011184
21,2,27714.05590683412
22,2,27702.572752861837
23,2,28006.64173430072
24,2,28970.308617841496
25,2,28808.986869351713
26,2,27876.463622131574
27,2,25644.873205984208
28,2,23341.29399519356
29,2,20647.095312651567
30,2,18294.989489643547
31,2,17338.104179720685
32,2,16441.859915766705
33,2,15551.369274725366
34,2,15568.429812017952
35,2,16490.215760860523
36,2,18302.834356431842
37,2,19348.872280783216
38,2,22810.28100480932
39,2,21159.572604989182
40,2,20680.16828461468
41,2,19859.030339142904
42,2,19557.44661191305
43,2,19541.075744750342
44,2,22498.016834220092
45,2,27248.7959317052
46,2,28906.86342646461
47,2,12025.898822909421
1,3,6072.02990140942
2,3,5864.403687599636
3,3,5420.486398768826
4,3,4623.800746086921
5,3,5641.868881388125
6,3,6551.632962545114
7,3,7232.81968370213
8,3,8399.82678150448
9,3,9095.493731575043
10,3,10681.1804649637
11,3,12945.594715356936
12,3,14913.79843835329
13,3,17617.992926044804
14,3,20787.81111186059
15,3,23511.95750492606
16,3,25889.699693345618
17,3,24893.551933665265
18,3,25073.126389675723
19,3,23632.050097906977
20,3,23122.820923286516
21,3,21805.730025258963
22,3,22546.489005583368
23,3,22570.178062697756
24,3,22947.994115796515
25,3,22685.612776475187
26,3,21626.339646805987
27,3,19466.390155619323
28,3,17554.527837344816
29,3,16913.497650540394
30,3,16692.156229856824
31,3,16068.191766104099
32,3,15783.847419453463
33,3,14813.012237213366
34,3,14613.192978261406
35,3,16737.17620831257
36,3,19509.402950940144
37,3,21372.611265876913
38,3,23710.79722988166
39,3,24228.786909242437
40,3,24530.05837941934
41,3,24105.661688844062
42,3,23759.821737362574
43,3,23839.376786871406
44,3,24299.630004151804
45,3,28507.223288000765
46,3,28363.9323171867
47,3,18553.80564357117
