t,last5_index,Vhat
1,1,6058.893560989398
2,1,8224.31324530975
3,1,7542.38442809317
4,1,6931.489725697027
5,1,7612.748133345636
6,1,9260.34966846702
7,1,6267.515815322777
8,1,5787.207516558497
9,1,7031.206018892309
10,1,8481.308872321148
11,1,10049.690235645296
12,1,12271.063963604942
13,1,13126.4332481764
14,1,13326.235336642158
15,1,15377.524932040917
16,1,14606.529455852728
17,1,14595.638192104292
18,1,14153.47866691893
19,1,12733.230609799923
20,1,12384.39611046487
21,1,12085.536714458634
22,1,14185.743410857405
23,1,16039.152581501392
24,1,17227.28286295436
25,1,17958.743737642406
26,1,16212.820165372545
27,1,15224.662039317795
28,1,13206.301845905356
29,1,12310.55018670268
30,1,10821.596937959795
31,1,9952.846186660958
32,1,9564.294253314478
33,1,9435.349586455763
34,1,9426.497987374356
35,1,11061.037682212234
36,1,10964.11109697667
37,1,11470.426377595017
38,1,11296.888524083566
39,1,11106.825253211442
40,1,10589.964519007934
41,1,10593.22317701764
42,1,10139.5698921143
43,1,9697.843651296447
44,1,9199.73145672417
45,1,9134.45034784493
46,1,10652.978280681544
47,1,12243.929671574644
1,2,6466.559960154114
2,2,6520.269084290817
3,2,6009.2708164702035
4,2,5420.834687510221
5,2,4141.2356087662565
6,2,3527.6436444370006
7,2,3180.242147943971
8,2,3877.746504354205
9,2,5187.025153314193
10,2,6637.727234092914
11,2,8181.649828036119
12,2,10677.730661396285
13,2,24486.5773101204
14,2,27352.84707148655
15,2,29031.301407046492
16,2,30025.056539824716
17,2,29642.79365006079
18,2,29086.066631591893
19,2,27869.891964886847
20,2,28025.249048916274
21,2,27609.829233847908
22,2,28093.441677300383
23,2,28020.308473093086
24,2,26959.09429996081
25,2,26665.852612147635
26,2,24912.322653331423
27,2,23360.08929963895
28,2,21068.624581940254
29,2,19358.889456866356
30,2,17456.34081255746
31,2,17013.908916957585
32,2,16768.988104445012
33,2,16741.037072849023
34,2,16672.380702610226
35,2,17932.645871371038
36,2,18746.112848442885
37,2,18267.159589019964
38,2,20441.86497890519
39,2,18388.28558137277
40,2,17237.018374444342
41,2,16699.165182321107
42,2,16595.244283339387
43,2,16584.57561150372
44,2,16425.892654871626
45,2,16052.20862263785
46,2,14818.710890566166
47,2,13033.095897566991
1,3,6255.552099546214
2,3,6108.0678730515465
3,3,5652.586472310556
4,3,4774.151455373474
5,3,5628.588545002505
6,3,6692.458612080291
7,3,7366.329026431881
8,3,8516.297622156451
9,3,9658.965377339448
10,3,11134.087292477918
11,3,12806.478305374112
12,3,13460.46276978021
13,3,16165.156319532318
14,3,18920.610918889324
15,3,20890.14712442195
16,3,22728.565114573328
17,3,22164.350024959924
18,3,22026.89710291764
19,3,20324.576644796667
20,3,20594.341269630182
21,3,20176.89329287427
22,3,21093.701121364462
23,3,20920.083102566525
24,3,19999.17270141114
25,3,20116.019770778978
26,3,17901.651741257978
27,3,16171.618706489244
28,3,14151.503383903457
29,3,13017.820877717411
30,3,12978.81681148424
31,3,12145.32899189731
32,3,12330.353170739912
33,3,12691.747561695236
34,3,12691.974531788786
35,3,14076.856680256738
36,3,15110.570736107833
37,3,15356.849402489508
38,3,17143.006275758853
39,3,17258.74983612275
40,3,16689.781822714933
41,3,16514.20648105148
42,3,16092.472919871325
43,3,16074.53532968642
44,3,15667.07311846412
45,3,15941.156126729671
46,3,15301.455071759434
47,3,14762.972057443189
1,4,6268.296396557804
2,4,6301.528121383916
3,4,6013.165162167323
4,4,5678.525766212019
5,4,4453.068294017203
6,4,3933.382652674827
7,4,3448.9661430076035
8,4,3205.9436741417253
9,4,4593.361189288609
10,4,6115.669347670726
11,4,7719.137348253889
12,4,9645.629257507888
13,4,12028.524004962816
14,4,14640.544196721305
15,4,14762.119465135911
16,4,13964.200082113715
17,4,13478.072528144994
18,4,14809.966357595933
19,4,13818.73608030699
20,4,12024.348005679754
21,4,11529.33868485795
22,4,11533.455894580557
23,4,13267.260511473049
24,4,14670.422203001854
25,4,14626.975345275434
26,4,14484.006744750957
27,4,15447.269472520793
28,4,13488.053839875762
29,4,12418.460032148938
30,4,11036.846734907289
31,4,10077.496091329847
32,4,9704.553316880616
33,4,10014.23883019802
34,4,10064.053822613496
35,4,9629.738764775539
36,4,9132.837523168364
37,4,10749.172512315115
38,4,12282.271036985556
39,4,13902.98893481711
40,4,15124.713312037924
41,4,15971.39347865486
42,4,15661.426827984738
43,4,15853.257572590388
44,4,16013.552233067825
45,4,16328.006481575423
46,4,16416.66133335685
47,4,16269.281788475513
1,5,6052.41398309273
2,5,8174.202737196279
3,5,8033.466408803975
4,5,7459.516503936815
5,5,6130.922890617113
6,5,5166.88947909731
7,5,6049.622055329102
8,5,7294.688998710071
9,5,8523.255826374792
10,5,10014.741211385484
11,5,11651.68613696723
12,5,13815.136872861756
13,5,16576.72739812853
14,5,19373.257401958763
15,5,21356.596256010962
16,5,22433.86803250059
17,5,23880.40440148656
18,5,25501.71825665534
19,5,24235.983233610663
20,5,26905.97624364373
21,5,24583.58157269659
22,5,25211.453345484733
23,5,25463.226614011473
24,5,25139.193926339314
25,5,25475.523189436884
26,5,23015.6810095914
27,5,21140.54283064106
28,5,18662.7689288143
29,5,17587.37591109042
30,5,15504.559226851825
31,5,14609.802631425717
32,5,14332.259083447336
33,5,14786.670854580649
34,5,14978.890249408416
35,5,16400.125124831266
36,5,17418.474302772236
37,5,18993.818616390272
38,5,20079.214673940474
39,5,21765.628365554276
40,5,19428.388223545444
41,5,18662.665251757637
42,5,19154.896327589748
43,5,19259.237357111633
44,5,18578.188410038
45,5,21251.600822153083
46,5,18587.816469055928
47,5,18048.88481915619
